[HEADER START]
MeasurementName=UDDS_50
MeasurementDescription=User requested application recording
MeasurementNumber=0
MeasurementStartTime=9/19/2013 9:27:02 PM
MeasurementVersion=1
TestName=
Release Number=1.22.120702.19 R3
UutID=LiIon_7_MAC_54Ah
RunNumber=1
Testcell Parameter File=Arbin_6CH_170019C_20130731140022_Rev.cell
Battery Parameter File=LiIon_7_MAC_54Ah_20130909185813_Rev.battery
Test Parameter File=PhD_Aging_RPT_2_20130903154430_Rev.test
Frequency=10
Last Appending Time=
Number of Appends=0
StandNumber=1
TestcellID=ARBIN
Project=Ford Arbin Test
EStopChannel=ESTOP
Test_Cell_Version=2.00
Sequence_Lib_Version=2.00
Max_Charge_Power=1
Max_Discharge_Power=-1
Max_Charge_Current=16.2
Max_Discharge_Current=-86.4
Upper_Voltage_Limit=4.2
Lower_Voltage_Limit=2.8
Battery_File_Version=1.00
BatteryID=LiIon_1_MAC_54Ah
Cell_Voltage_Chrg_Max=4.2
Cell_Voltage_DisChrg_Min=2.8
Batt_Cell_V_Pulse_Max=4.2
Batt_Cell_V_Pulse_Min=2.8
Batt_DisCharge_Rate=-5.4
Batt_Charge_Rate=5.4
Batt_Capacity_Rated=5.4
Batt_Chrg_C_Rate_Req=1
Batt_Dischrg_C_Rate_Req=1
Batt_Temp_Upper_Limit=45
Batt_Temp_Lower_Limit=-20
Cycling_Profile_Temp=25
Ref_Performance_Temp=25
Cycling_Profile_Pre_Chg_Rest=2
Cycling_Profile_Pre_DisChg_Rest=15
Intial_Temp_Soak_Time=2
Cycling_Profile_Chg_Time=20
Ref_Performance_Capacity_Rest=60
Ref_Performance_Pulse_Rest=600
Cycling_Profile_Chg_Rate=1
Cycling_Profile_DisChg_Rate=1
Ref_Performance_Pulse_Length=10
Ref_Performance_Pulse_SOC=50
Batt_Charge_End_CRate=0.05
Batt_init_Dischrg_C_Rate_Req=1
Test_Version=2.00
XAxisChannelName=RecordingTime
XAxisIncrementValue=0.1
XAxisIncrementValueUnit=s
XAxisStartValue=0
XAxisStartValueUnit=s
XAxisType=ImplicitXAxis
[HEADER END]

[DATA START]
RecordingTime,PEC_Measured_Current,PEC_Measured_Power,PEC_Measured_Voltage,Batt_SOC_Calculated,Frm_Temperature_Limit,Batt_Temp_Cell,Batt_Temp_NegPost,Batt_Temp_PosPost,PEC_Accumulated_Current_In,PEC_Accumulated_Current_Out,Week_Counter,Test_Position_Timer,Test_Postn_Tmr_min,TC_Loop1PV,TC_Loop1SP,TC_Loop2PV,TC_Loop2SP,Batt_SOC_Req,PEC_Accumulated_Current_Total,PEC_Accumulated_Power_In,PEC_Accumulated_Power_Out,PEC_Accumulated_Power_Total,LoopCnt1,Batt_Chrg_Capacity_Ah,Batt_Chrg_Capacity_kWh,Batt_Dischrg_Capacity_Ah,Batt_Dischrg_Capacity_kWh,Batt_Throughput_Ah,Batt_Throughput_kWh
s,A,kW,V,%,-,°C,°C,°C,Ah,Ah,-,-,min,°C,°C,-,-,%,Ah,kWh,kWh,kWh,-,Ah,kWh,Ah,kWh,Ah,kWh
Double,Float,Float,Float,Float,Long,Float,Float,Float,Double,Double,Long,Long,Float,Float,Float,Float,Float,Float,Float,Double,Double,Float,Long,Float,Float,Float,Float,Double,Double
0,-5.394573,-0.019893,3.687532,49.99,0,26.80,10000000000.00,30.29,9.852326,-7.166873,1,170,0.00,25.0,25.0,0.0,-1.0,50.00,2.685453,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019199,0.064308
0.1,0.003721,0.000014,3.733931,49.99,0,26.83,10000000000.00,30.41,9.852326,-7.166918,1,270,0.00,25.0,25.0,0.0,-1.0,50.00,2.685408,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019244,0.064308
0.2,0.003721,0.000014,3.734092,49.99,0,26.84,10000000000.00,30.23,9.852326,-7.166918,1,370,0.01,25.0,25.0,0.0,-1.0,50.00,2.685408,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019244,0.064308
0.3,0.003721,0.000014,3.734416,49.99,0,26.85,10000000000.00,30.19,9.852326,-7.166918,1,470,0.01,25.0,25.0,0.0,-1.0,50.00,2.685408,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019244,0.064308
0.4,0.003721,0.000014,3.734416,49.99,0,26.84,10000000000.00,30.32,9.852326,-7.166918,1,570,0.01,25.0,25.0,0.0,-1.0,50.00,2.685408,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019244,0.064308
0.5,0.003721,0.000014,3.734739,49.99,0,26.82,10000000000.00,30.30,9.852326,-7.166918,1,670,0.01,25.0,25.0,0.0,-1.0,50.00,2.685408,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019244,0.064308
0.6,0.005773,0.000022,3.734901,49.99,0,26.95,10000000000.00,30.25,9.852326,-7.166918,1,770,0.01,25.0,25.0,0.0,-1.0,50.00,2.685409,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019244,0.064308
0.7,0.005773,0.000022,3.734739,49.99,0,26.90,10000000000.00,30.22,9.852326,-7.166918,1,870,0.01,25.0,25.0,0.0,-1.0,50.00,2.685409,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019244,0.064308
0.8,0.003721,0.000014,3.734901,49.99,0,26.91,10000000000.00,30.33,9.852327,-7.166918,1,970,0.02,25.0,25.0,0.0,-1.0,50.00,2.685409,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019244,0.064308
